id,gamename,secretkey,description,queryport,backendflags,disabledservices,keylist,keytypelist
659,nfs6,ZIr1wX,Need For Speed: Hot Pursuit 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
660,bangler2003,hCTCQM,Bass Angler 2003,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
661,netathlon2,RW88dv,NetAthlon,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
662,sfc3,q3k7xH,Starfleet Command III,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
663,ddozenpt,L3sB7f,Deadly Dozen: Pacific Theater,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
664,vietnamso,E8d3Bo,Line of Sight: Vietnam,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
665,mt2003,TORp4j,Monopoly 2003,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
666,soad,K3e8cT,Soldiers of Anarchy Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
667,celtickingsdemo,TCQMZI,Celtic Kings Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
668,ironstorm,y5Ei7C,Iron Storm,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
669,civ3ptw,yboeRW,Civilization III: Play Th,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
670,tron20,t9D3vB,TRON 2.0,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
671,bfield1942d,gF4i8U,Battlefield 1942 Demo,23000,0,0,,
672,scrabble3,4o2vPk,Scrabble 3,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
673,vietcong,bq98mE,Vietcong,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
674,th2003d,G4i3x7,Trophy Hunter 2003 Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
675,ccgenerals,h5T2f6,Command and Conquer Generals,6500,0,0,\\country\\gamemode\\gametype\\hostname\\mapname\\maxplayers\\maxrealplayers\\numobservers\\numplayers\\numrealplayers,\\0\\0\\0\\0\\0\\1\\1\\1\\1\\1
676,sfc3dv,Gi7C8s,Starfleet Command III (Dynaverse),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
677,bandits,H2k9bD,Bandits: Phoenix Rising,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
678,xar,N9gV5H,Xtreme Air Racing,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
679,echelonww,uPkKya,Echelon Wind Warriors,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
683,dtr2d,U4iX9e,Dirt Track Racing 2 Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
684,mclub2ps2,h4Rx9d,Midnight Club 2 (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
689,dh2003,hT40y1,Deerhunter 2003,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
690,hwbasharena,CSBQMI,Hot Wheels Bash Arena,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
691,robotarena2,h4Yc9D,Robot Arena 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
692,monopoly3,vPkKya,Monopoly 3,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
693,banditsd,H2k9bD,Bandits: Phoenix Rising Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
694,painkiller,k7F4d2,Painkiller,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
695,revolution,G1h3m2,Revolution,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
696,ddozenptd,G7b3Si,Deadly Dozen Pacific Theater Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
697,ironstormd,h9D3Li,Iron Storm Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
698,strikefighters1,PwZFex,Strike Fighters: Project,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
699,moo3,g4J72d,Master of Orion III,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
700,suddenstrike2,Iq0wWE,Sudden Strike II,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
701,mostwanted,H3kEn7,Most Wanted,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
702,gicombat1,,G.I. Combat,6500,0,0,,
703,projectigi2,j4F9cY,IGI 2: Covert Strike Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
704,realwarrsd,5jAGh7,Real War: Rogue States De,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
705,pnomads,FexS6a,Project Nomads,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
706,thps5ps2,G2k8cF,Tony Hawk's Underground (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
707,strongholdcd,kAGh6n,Stronghold Crusaders Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
708,blitzkrieg,fYDXBN,Blitzkrieg,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
709,woosc,Y4nD9a,World of Outlaws Sprint Cars,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
710,vietcongd,bq98mE,Vietcong Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
711,hlwarriors,H5rW9v,Highland Warriors,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
712,mohaasd,2vPkJy,Medal of Honor: Allied As,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
713,bfield1942rtr,HpWx9z,Battlefield 1942: Road to Rome,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
714,horserace,y4fR91,HorseRace,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
715,netathlon,nYALJv,NetAthlon,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
716,ccgeneralsb,g3T9s2,Command and Conquer Generals Closed Beta,6500,0,0,\\country\\gamemode\\gametype\\hostname\\mapname\\maxplayers\\maxrealplayers\\numobservers\\numplayers\\numrealplayers,\\0\\0\\0\\0\\0\\1\\1\\1\\1\\1
717,sandbags,wXEX3r,Sandbags and Bunkers,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
718,crttestdead,111111,CRT - TEST,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
719,nolf2,g3Fo6x,No One Lives Forever 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
720,wkingsb,agV5Hm,Warrior Kings Battles,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
721,riseofnations,H3kC6s,Rise of Nations,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
722,worms3,fZDYBO,Worms 3D,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
723,castles,31zdyb,Castles and Catapluts,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
724,mech4merc,q7zgsC,MechWarrior 4: Mercenarie,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
725,orbb,Ykd2D3,O.R.B. Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
726,echelonwwd,ORp4jG,Echelon Wind Warriors Dem,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
728,snooker2003,ZIq1wX,Snooker 2003,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
729,jeopardyps2,t9iK4V,Jeopardy (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
730,riskps2,Hg3u2X,Risk (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
731,wofps2,dF39h3,Wheel of Fortune (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
732,dhunterps2,G2Qvo9,Deer Hunter (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
733,trivialppc,c45S8i,Trivial Pursuit (PC) US,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
734,trivialpps2,h3U6d9,Trivial Pursuit (PS2),6500,0,0,\\gamemode\\gametype\\hostname\\hostport\\maxplayers\\numplayers\\teamplay,\\1\\1\\0\\0\\1\\1\\1
735,projectigi2d,j4F9cY,IGI 2: Covert Strike Demo (depreciated),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
736,projectigi2r,j4F9cY,IGI 2 Covert Strike,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
738,il2sturmovikfb,h53Ew8,IL-2 Sturmovik Forgotten Battles,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
739,wooscd,Y4nD9a,World of Outlaws Sprint Cars Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
740,nthunder2004,g3J7sp,NASCAR Thunder 2004,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
741,f1comp,g7W1P8,F1 1999-2000 Compilation,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
742,nomansland,DLziQw,No Mans Land,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
743,nwnxp1,ZIq1wW,Neverwinter Nights: Shado,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
744,praetoriansd,EX3rAJ,Praetorians Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
745,nrs2003,f3RdU7,NASCAR Racing Season 2003,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
746,gmtestam,HA6zkS,test (Auto-Matchmaking),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\0\\0
747,nolf2d,dHg7w3,No One Lives Forever: The Operative 2 Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
748,devastation,b6Eo3S,Devastation,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
749,blitz2004ps2,w3Rk7F,NFL Blitz 2004 (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
750,hd2,sK8pQ9,Hidden and Dangerous 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
751,hd2b,T1sU7v,Hidden and Dangerous 2 Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
754,hd2d,sT3p2k,Hidden and Dangerous 2 Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
755,mrpantsqm,g3R2ii,Mr. Pants QuickMatch,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
756,moutlawne,4o2uPk,Midnight Outlaw Nitro,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
757,vietnamsod,y3Ed9q,Line of Sight: Vietnam Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
758,lionheart,h5R3cp,Lionheart,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
759,medievalvi,w5R39i,Medieval Total War Viking Invasion,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
760,black9pc,h2F9cv,Black9 (PC),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
761,black9ps2,w3D8gY,Black9 (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
762,cmanager3,T3d8yH,Cycling Manager 3,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
764,devastationd,y3Fk8c,Devastation Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
765,hitz2004ps2,t3E8Fc,NHL Hitz 2004 PS2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
766,wkingsbd,agV5Hm,Warrior Kings Battles Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
767,chaserd,3R5fi7,Chaser Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
768,motogp2,y3R2j7,MotoGP 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
769,motogp2d,y3R5d1,MotoGP 2 Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
770,racedriverd,P4f3Hw,Race Driver Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
771,empiresam,GknAbg,Empires Dawn of the Modern World (AM),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
772,empires,GknAbg,Empires: Dawn of the Modern World,6500,0,0,\\country\\eegameepoch\\eegamemap\\eegametype\\gamemode\\gametype\\hostname\\mapname\\maxplayers\\numplayers,\\0\\1\\1\\1\\0\\0\\0\\0\\1\\1
773,crashnitro,3E8fT5,Crash Nitro Carts,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
774,breed,t3Fw7r,Breed,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
775,breedd,u7Gc92,Breed Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
776,homeworld2,t38kc9,Homeworld 2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
777,moo3a,g4J72d,Master of Orion III,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
778,nwnmac,Adv39k,Neverwinter Nights (Mac),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
779,ravenshield,csFbq9,Raven Shield,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
780,stef2,MIr1wX,Elite Force II,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
781,spacepod,8cvRTO,SpacePod,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
782,agrome,8mEKiP,Against Rome,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
783,bfield1942sw,HpWx9z,Battlefield 1942: Secret Weapons of WW2,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
784,thps4pc,L3C8s9,Tony Hawk: Pro Skater 4 (PC),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
785,omfbattled,Abm93d,One Must Fall Battlergounds Demo,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
786,nwnlinux,Adv39k,Neverwinter Nights (Linux),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
787,blitz2004ps2e,t3Fg7C,NFL Blitz Pro 2004 E3 (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
788,blitz2004ps2b,y3G9dJ,NFL Blitz Pro 2004 Beta (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
789,homeworld2b,t3Fd7j,Homeworld 2 Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
790,halo,QW88cv,Halo Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
791,lotr3,y2Sc6h,Lords of the Realm III,6500,0,0,\\country\\creator_name\\customcastles\\game_version\\gamemode\\gametype\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\0\\0\\1\\1\\0
792,lotr3b,y2Sc6h,Lords of the Realm III Beta,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
793,halor,e4Rd9J,Halo: Combat Evolved,6500,0,0,,
794,bllrs2004ps2,t3w6k8,NBA Ballers (PS2),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
795,rtcwett,t3R7dF,Wolfenstein: Enemy Territory Test,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
796,mclub2pc,y6E3c9,Midnight Club 2 (PC),6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
797,jacknick6,q7zgsC,Jack Nicklaus Golden Bear,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
798,wotr,e8Fc3n,War of the Ring,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
799,terminator3,y3Fq8v,Terminator 3,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password,\\0\\0\\0\\0\\0\\0\\1\\1\\1
800,fwarriorpc,n2X8ft,Fire Warrior,6500,0,0,\\country\\gamemode\\gametype\\gamever\\hostname\\mapname\\maxplayers\\numplayers\\password\\teamplay,\\0\\0\\0\\0\\0\\0\\0\\0\\0\\0
801,fwarriorps2,r3D7s9,Fire Warrior (PS2),6500,0,0,\\avgping\\gametype\\gamever\\hostname\\hostport\\numplayers,\\0\\0\\0\\0\\0\\0
